FILENAME       BUNDLE         DISK   SIZE     DIRECTORY     DESCRIPTION
----------------------------------------------------------------------------------------------------
LIMREC.EXP     PEN1           2     46080    \SYSTEM\       PenDOS stub recognition engine
PEN.EXE        PEN1           2     12800    \SYSTEM\       PenDOS point and button routines TSR
PINK.EXE       PEN1           2     6144     \SYSTEM\       PenDOS electronic ink
VLOAD.EXE      PEN1           2     5120     \SYSTEM\       PenDOS loads recognition engine into expanded mem
PKEYUS.EXE     PEN1           2     4608     \SYSTEM\       PenDOS virtual keyboard, English
PMOUSE.EXE     PEN1           2     3584     \SYSTEM\       PenDOS mouse emulation
PSYS.EXE       PEN1           2     3072     \SYSTEM\       PenDOS pen support TSR
PWW.EXE        PEN1           2     2560     \SYSTEM\       PenDOS pen support TSR
PSETUP.EXE     PEN1           5     1536     \SYSTEM\       PenDOS pen setup program
PENDOS.CFG     PEN1           5     1024     \SYSTEM\       PenDOS pen configuration file of gestures for Apps
PENDEV.SYS     PEN1           5     512      \SYSTEM\       PenDOS pen support device driver
AVBKUD.GRP     WGRP           5     2048     \              Windows DOS utilities group file
BKUD.GRP       WGRP           5     1536     \              Windows DOS utilities group file
BK.GRP         WGRP           5     1536     \              Windows DOS utilities group file
AVUD.GRP       WGRP           5     1536     \              Windows DOS utilities group file
AVBK.GRP       WGRP           5     1536     \              Windows DOS utilities group file
UD.GRP         WGRP           5     1024     \              Windows DOS utilities group file
AV.GRP         WGRP           5     1024     \              Windows DOS utilities group file
HERC.VID       SHELL1         4     6656     \              DOSSHELL Hercules video driver
VGA.VID        SHELL1         4     6656     \              DOSSHELL VGA video driver
EGA.VID        SHELL1         4     6144     \              DOSSHELL EGA video driver
CGA.VID        SHELL1         4     6144     \              DOSSHELL CGA video driver
VGAMONO.GRB    SHELL1         4     3584     \              DOSSHELL VGAMONO support
VGA.GRB        SHELL1         4     3584     \              DOSSHELL VGA support
EGAMONO.GRB    SHELL1         4     2560     \              DOSSHELL EGAMONO support
EGA.GRB        SHELL1         4     2560     \              DOSSHELL EGA support
VGA.INI        SHELL1         4     2560     \              DOSSHELL VGA program group
EGA.INI        SHELL1         4     2560     \              DOSSHELL EGA program group
CGA.INI        SHELL1         4     2560     \              DOSSHELL CGA program group
HERC.GRB       SHELL1         4     2048     \              DOSSHELL Hercules support
CGA.GRB        SHELL1         4     2048     \              DOSSHELL CGA support
MONO.INI       SHELL1         4     2048     \              DOSSHELL Mono program group
MONO.GRB       SHELL1         4     512      \              DOSSHELL mono support
REXX.EXE       REXX           3     81408    \              REXX program interpreter
RXWRSCR.RX     REXX           3     3584     \              REXX write text directly to screen
RXCLS.RX       REXX           3     3072     \              REXX clear the screen
RXQSYS.RX      REXX           3     1024     \              REXX query specified system info
RXSLEEP.RX     REXX           3     512      \              REXX delay for specified number of seconds
RXSETPOS.RX    REXX           3     512      \              REXX set the cursor position
RXSCRSIZ.RX    REXX           3     512      \              REXX get the screen size
RXRMDIR.RX     REXX           3     512      \              REXX remove a subdirectory
RXNETDRV.RX    REXX           3     512      \              REXX indicates whether drive is local or remote
RXMKDIR.RX     REXX           3     512      \              REXX make a subdirectory
RXISDIR.RX     REXX           3     512      \              REXX indicates whether filename is a file or directory
RXGETPOS.RX    REXX           3     512      \              REXX get the cursor position
RXGETMEM.RX    REXX           3     512      \              REXX get amount of free memory available
RXGETKEY.RX    REXX           3     512      \              REXX get a keystroke optionally without echo
RXGETDRV.RX    REXX           3     512      \              REXX get the current drive
RXGETDIR.RX    REXX           3     512      \              REXX get the current directory on specified drive
RXFINFO.RX     REXX           3     512      \              REXX get info about the specified file
RXDOSVER.RX    REXX           3     512      \              REXX get the DOS version
RXDINFO.RX     REXX           3     512      \              REXX get info about the specified drive
RXDELETE.RX    REXX           3     512      \              REXX delete the specified file
RXCRSTAT.RX    REXX           3     512      \              REXX set the cursor state
RXCREATE.RX    REXX           3     512      \              REXX create the specified file
RXCHDRV.RX     REXX           3     512      \              REXX change to the specified drive
RXCHDIR.RX     REXX           3     512      \              REXX change to the specified directory
RX.BAT         REXX           3     512      \              REXX interactively try REXX statements
REXXDUMP.EXE   REXX           3     512      \              REXX dumps the REXX variable pool
VIRSIG.LST     AV2            3     85504    \              IBM Antivirus binary file containing virus signatures
VIRINFO.LST    AV2            3     22016    \              IBM Antivirus text file containing virus information
IBMAVDQ.EXE    AV2            3     21504    \              IBM Antivirus program that determines if IBMAVD should be run
VIRUS.LST      AV2            3     20480    \              IBM Antivirus text file of virus names
VERV.VDB       AV2            3     9728     \              IBM Antivirus binary database for disinfecting purposes
TUTORIAL.LST   AV2            3     9216     \              IBM Antivirus tutorial
SHSIG.LST      AV2            3     8192     \              IBM Antivirus virus signature file
IBMAVSH.COM    AV2            3     5120     \              IBM Antivirus shield program
IBMAVD09.HLP   AV2            3     3072     \              IBM Antivirus help file
IBMAVDR.BAT    AV2            3     1024     \              IBM Antivirus batch file called by AUTOEXEC.BAT to run antivirus
IBMAVD10.HLP   AV2            3     1024     \              IBM Antivirus help file
PRODINFO.LST   AV2            3     512      \              IBM Antivirus text file, product information
PALETTE.AVD    AV2            3     512      \              IBM Antivirus screen color information
LOCAL.MSG      AV2            3     512      \              IBM Antivirus text file, contains virus clean-up information
IBMAVD11.HLP   AV2            3     512      \              IBM Antivirus help file
IBMAVD.EXE     AV1            1     158720   \              IBM Antivirus main antivirus program
IBMAVSP.EXE    AV1            1     81408    \              IBM Antivirus IBMAV stand-alone program
IBMAVD01.HLP   AV1            1     3072     \              IBM Antivirus help file
IBMAVD06.HLP   AV1            1     2560     \              IBM Antivirus help file
IBMAVD04.HLP   AV1            1     2048     \              IBM Antivirus help file
IBMAVD08.HLP   AV1            1     1536     \              IBM Antivirus help file
IBMAVD05.HLP   AV1            1     1536     \              IBM Antivirus help file
IBMAVD07.HLP   AV1            1     1024     \              IBM Antivirus help file
IBMAVD03.HLP   AV1            1     1024     \              IBM Antivirus help file
CONTACT.LST    AV1            1     1024     \              IBM Antivirus contains service and update information
IBMAVD02.HLP   AV1            1     512      \              IBM Antivirus help file
DEFAULT.PRF    AV1            1     512      \              IBM Antivirus profile
AUTORUN.PRF    AV1            1     512      \              IBM Antivirus profile for automatic execution
ADMIN.PRF      AV1            1     512      \              IBM Antivirus profile
CPBX.OVL       BACKUP2        5     75264    \SYSTEM\       CPBACKUP overlay, express engine
CPBACKUP.HLP   BACKUP2        5     55296    \SYSTEM\       CPBACKUP online help
CPBT5.OVL      BACKUP2        5     38400    \SYSTEM\       CPBACKUP overlay
CPBQ5.OVL      BACKUP2        5     36864    \SYSTEM\       CPBACKUP overlay
CPBT3.OVL      BACKUP2        5     33792    \SYSTEM\       CPBACKUP overlay
CPBQ3.OVL      BACKUP2        5     32768    \SYSTEM\       CPBACKUP overlay, QIC-40/80 tape support
CPBT4.OVL      BACKUP2        5     30208    \SYSTEM\       CPBACKUP overlay
CPBQ4.OVL      BACKUP2        5     29696    \SYSTEM\       CPBACKUP overlay
CPBV.OVL       BACKUP2        5     29184    \SYSTEM\       CPBACKUP overlay, virus scanning and reporting
CPBNWLIB.OVL   BACKUP2        5     11776    \SYSTEM\       CPBACKUP overlay, SCSI or QIC-02/38 tape support for Novell
FILECHK.OVL    BACKUP2        5     10752    \SYSTEM\       CPBACKUP file integrity checker
CPBSDEV.OVL    BACKUP2        5     9216     \SYSTEM\       CPBACKUP overlay
CPBSCSI.OVL    BACKUP2        5     5120     \SYSTEM\       CPBACKUP overlay
CPSMAIN.FNT    BACKUP2        5     3072     \SYSTEM\       CPBACKUP font data for pseudo graphics
WORDPROC.SET   BACKUP2        5     512      \DATA\         CPBACKUP pre-configured setup file
WEEKLY.SET     BACKUP2        5     512      \DATA\         CPBACKUP pre-configured setup file
SPREAD.SET     BACKUP2        5     512      \DATA\         CPBACKUP pre-configured setup file
DATABASE.SET   BACKUP2        5     512      \DATA\         CPBACKUP pre-configured setup file
DAILY.SET      BACKUP2        5     512      \DATA\         CPBACKUP pre-configured setup file
CPBACKUP.EXE   BACKUP1        3     199680   \              CPBACKUP full screen backup program
CPB3.OVL       BACKUP1        3     28160    \SYSTEM\       CPBACKUP overlay, floppy backup and restore high/medium speed
CPB5.OVL       BACKUP1        3     27648    \SYSTEM\       CPBACKUP overlay, history file processing
CPBH.OVL       BACKUP1        3     25600    \SYSTEM\       CPBACKUP overlay, online help engine
CPBFMTB.OVL    BACKUP1        3     24064    \SYSTEM\       CPBACKUP overlay
CPBFMTR.OVL    BACKUP1        3     23040    \SYSTEM\       CPBACKUP overlay
CPB4.OVL       BACKUP1        3     12288    \SYSTEM\       CPBACKUP overlay, floppy backup and restore high/medium speed
CPB1.OVL       BACKUP1        3     10752    \SYSTEM\       CPBACKUP overlay, floppy backup and restore
CPB2.OVL       BACKUP1        3     8704     \SYSTEM\       CPBACKUP overlay, floppy backup and restore
CPBDIR.EXE     BACKUP1        3     7168     \              CPBACKUP find info for high/medium speed disks
CPBACKUP.MSG   BACKUP1        3     7168     \SYSTEM\       CPBACKUP message file
CPBIBMPS.OVL   BACKUP1        3     6656     \SYSTEM\       CPBACKUP overlay, IBM SCSI tape drive support
CPBA1640.OVL   BACKUP1        3     6656     \SYSTEM\       CPBACKUP overlay
CPBA1540.OVL   BACKUP1        3     6656     \SYSTEM\       CPBACKUP overlay, SCSI or QIC-02/36 tape support
CPBASPI.OVL    BACKUP1        3     5632     \SYSTEM\       CPBACKUP overlay
CPB6.OVL       BACKUP1        3     5120     \SYSTEM\       CPBACKUP overlay, format floppies for low speed backup
CPBCP.OVL      BACKUP1        3     4608     \SYSTEM\       CPBACKUP overlay
CPBCE.OVL      BACKUP1        3     4608     \SYSTEM\       CPBACKUP overlay
WNBACKUP.EXE   WBACKUP1       5     239616   \              Windows CPBACKUP backup program
NWNETAPI.DLL   WBACKUP1       5     47104    \              Windows CPBACKUP NetWare support
WNABSIO1.DLL   WBACKUP1       5     35840    \              Windows CPBACKUP disk checking DLL
WNDRTRE3.DLL   WBACKUP1       5     30208    \              Windows CPBACKUP directory tree DLL
WNFB.DLL       WBACKUP1       5     28672    \SYSTEM\       Windows CPBACKUP high speed backup support
WNBFMTR.DLL    WBACKUP1       5     26624    \SYSTEM\       Windows CPBACKUP local SCSI device support dynalink library
WNDOSLI1.DLL   WBACKUP1       5     17408    \              Windows CPBACKUP file I/O DLL
WNBSDEV.DLL    WBACKUP1       5     8192     \SYSTEM\       Windows CPBACKUP SCSI tape support dynalink library
WNBA1640.DLL   WBACKUP1       5     5120     \SYSTEM\       Windows CPBACKUP dynalink library, SCSI or QIC tape support
WNBA1540.DLL   WBACKUP1       5     5120     \SYSTEM\       Windows CPBACKUP dynalink library, SCSI or QIC tape support
WNBIBMPS.DLL   WBACKUP1       5     4608     \SYSTEM\       Windows CPBACKUP IBM SCSI tape drive support
WNBCP.DLL      WBACKUP1       5     4096     \SYSTEM\       Windows CPBACKUP compression dynalink library
WNBASPI.DLL    WBACKUP1       5     4096     \SYSTEM\       Windows CPBACKUP dynalink library
WNBCE.DLL      WBACKUP1       5     3072     \SYSTEM\       Windows CPBACKUP SCSI tape support dynalink library
WNFBL.RSL      WBACKUP1       5     1024     \SYSTEM\       Windows CPBACKUP resource file
WNBSEL.RSL     WBACKUP1       5     1024     \SYSTEM\       Windows CPBACKUP resource string file
CPBVXD.386     WBACKUP1       5     1024     \SYSTEM\       Windows CPBACKUP cps VxD
WEEKLY.SET     WBACKUP1       5     512      \DATA\         CPBACKUP pre-configured setup file
SPREAD.SET     WBACKUP1       5     512      \DATA\         CPBACKUP pre-configured setup file
DATABASE.SET   WBACKUP1       5     512      \DATA\         CPBACKUP pre-configured setup file
DAILY.SET      WBACKUP1       5     512      \DATA\         CPBACKUP pre-configured setup file
CPBNMI.386     WBACKUP1       5     512      \SYSTEM\       Windows CPBACKUP cps VxD (for micro-channel machines only)
WNBACKUP.HLP   WBACKUP3       2     86016    \SYSTEM\       Windows CPBACKUP help file
WNSCHEDL.EXE   WBACKUP3       2     51712    \              Windows CPBACKUP main program
WNTR.DLL       WBACKUP3       2     40960    \SYSTEM\       Windows CPBACKUP support dll
WNTB.DLL       WBACKUP3       2     37376    \SYSTEM\       Windows CPBACKUP CPS tape engine
WNVCVEC1.DLL   WBACKUP3       2     35840    \              Windows CPBACKUP viewer engine - vector category
WNQB.DLL       WBACKUP3       2     34304    \SYSTEM\       Windows CPBACKUP QIC tape engine
WNQR.DLL       WBACKUP3       2     32768    \SYSTEM\       Windows CPBACKUP QIC tape support
WNVCTXT1.DLL   WBACKUP3       2     23040    \SYSTEM\       Windows CPBACKUP viewer engine - text category
WNVC1.DLL      WBACKUP3       2     23040    \              Windows CPBACKUP viewer control DLL
WNTLDTH1.DLL   WBACKUP3       2     19968    \SYSTEM\       Windows CPBACKUP viewer dither transformation
WNVE1.DLL      WBACKUP3       2     16896    \              Windows CPBACKUP support dll
WNVCTBL1.DLL   WBACKUP3       2     14336    \SYSTEM\       Windows CPBACKUP viewer engine - table category
WNVCRAS1.DLL   WBACKUP3       2     9216     \SYSTEM\       Windows CPBACKUP viewer engine - raster category
WNVCBIN1.DLL   WBACKUP3       2     9216     \SYSTEM\       Windows CPBACKUP viewer engine - binary category
WNSCHEDL.HLP   WBACKUP3       2     7680     \SYSTEM\       Windows CPBACKUP help file
WNVF1.DLL      WBACKUP3       2     5632     \              Windows CPBACKUP support dll
WNNC.DLL       WBACKUP3       2     5120     \SYSTEM\       Windows CPBACKUP encryption DLL
WNSCHEL.RSL    WBACKUP3       2     4608     \SYSTEM\       Windows CPBACKUP string
WNVE1L.RSL     WBACKUP3       2     4096     \SYSTEM\       Windows CPBACKUP resource string file
WNVADOS1.DLL   WBACKUP3       2     3584     \SYSTEM\       Windows CPBACKUP support dll
WNIBM1L.RSL    WBACKUP3       2     3072     \SYSTEM\       Windows CPBACKUP graphic and util resource
WNUSER.INI     WBACKUP3       2     1024     \DATA\         Windows CPBACKUP scheduler .INI file
IBMDOS.PIF     WBACKUP3       2     512      \              DOS program information file for Windows
BOOK.ICO       WBACKUP3       2     512      \              DOS online book icon
IBMDOS.ICO     WBACKUP3       2     512      \              DOS icon for Windows
WORDPROC.SET   WBACKUP3       2     512      \DATA\         CPBACKUP pre-configured setup file
CMDREF.INF     DOS1           6     279040   \              PC DOS 7.0 Online Command Reference
DEFRAG.EXE     DOS1           6     75776    \              File defragment utility
DATAMON.EXE    DOS1           6     41472    \              TSR for tracker and sentry undelete protection
ACALC.EXE      DOS1           6     22528    \              Calculator utility
BACKUP.COM     DOS1           6     22016    \              Backup DOS 5.0 and earlier backups
CPSHELP.OVL    DOS1           6     17408    \SYSTEM\       SCHEDULE/RAMBOOST/UNDELETE overlay file
CRC.EXE        DOS1           6     9216     \              Cyclic redundancy check
DISKCOMP.COM   DOS1           6     7680     \              Disk compare utility
APPEND.EXE     DOS1           6     7680     \              Append utility
CPS.HLP        DOS1           6     6656     \SYSTEM\       SCHEDULE/RAMBOOST/UNDELETE help file
ANSI.SYS       DOS1           6     6144     \              Alternate console device driver
DELTREE.EXE    DOS1           6     5632     \              Tree delete utility
CPSCHED.EXE    DOS1           6     5120     \              TSR for schedule
ASSIGN.COM     DOS1           6     5120     \              Drive assignment utility
DEFRAG.HLP     DOS1           6     4096     \              Help for defrag
DDPOPUP.EXE    DOS1           6     4096     \              Provides DOS docking support under Windows
CPSCHED.OVL    DOS1           6     2560     \SYSTEM\       Overlay for schedule
CPB.OVL        DOS1           6     2048     \SYSTEM\       SCHEDULE/RAMBOOST/UNDELETE overlay file
BROWSE.COM     DOS1           6     1536     \              Invoke's E's browse function
CMOSCLK.SYS    DOS1           6     1024     \              Alternate clock device driver
SETUP.SAF      STAC3          4     362496   \STACKER\      STACKER compressed file containing Stacker data files
SCREXEC.EXE    STAC3          4     89600    \STACKER\      STACKER part of CREATE program
SCREXEC2.EXE   STAC3          4     75776    \STACKER\      STACKER part of CREATE program
SDIR.EXE       STAC3          4     36352    \STACKER\      STACKER displays compression ratios for Stacker disk
WINSWAP.CPL    STAC3          4     28160    \STACKER\      STACKER creates permanent swap file on a compressed drive
WINSWAP2.EXE   STAC3          4     26112    \STACKER\      STACKER creates permanent swap file on a compressed drive
DPMS.EXE       STAC3          4     23552    \STACKER\      STACKER DOS protected memory server
STACTRN.SCR    STAC3          4     13312    \STACKER\      STACKER Windows screen saver
SREBOOT.BIN    STAC3          4     10240    \STACKER\      STACKER reboot program used by Stacker for Windows
WINSWAP.EXE    STAC3          4     9216     \STACKER\      STACKER creates permanent swap file on a compressed drive
README.TXT     STAC3          4     6656     \STACKER\      Latest information about PC DOS or Stacker
SGROUP.EXE     STAC3          4     6656     \STACKER\      STACKER creates Stacker group in Windows
STACKER.LBL    STAC3          4     512      \STACKER\      STACKER install label file
SETUP.CFG      STAC3          4     512      \STACKER\      STACKER setup configuration file
SETUP1.OVL     -              1     78336    ~              PC DOS Setup overlay
QCONFIG.EXE    -              1     63488    ~              Query system configuration utility
EGA.CPI        -              1     58880    ~              Code page support for EGA/VGA and above
E.EXE          -              1     56832    ~              E Editor program
KEYBOARD.SYS   -              1     53760    ~              Country keyboard support
COMMAND.COM    -              1     53248    ~              Command interpreter
E.EX           -              1     52224    ~              E Editor program file
IBMBIO.COM     -              1     40960    ~              PC DOS system file
SETUP2.OVL     -              1     38912    ~              PC DOS Setup overlay
